,nom_chaine,video_ID,video_titre,date_publi,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
0,Michou,NBcUl3oCUug,TOURNOIS TIRAGE TRIPLE POUR M'ENTRAÎNER AVANT LE TOURNOIS D'INOXTAG ! (Clash Royale),2022-02-28,0 days 02:08:25,161.89,48,3.37,75.64,395175,30129,157
1,Michou,qenUHy8e4XQ,JE REDÉCOUVRE SUPER MARIO MAKER 2 ! (vous me dites ce qu'on fait),2022-02-26,0 days 02:40:58,131.89,44,3.0,49.16,443799,24941,434
2,Michou,I7oTq8i9yoE,SOIRÉE CLASH ROYALE ! (vous me dites ce qu'on fait),2022-02-26,0 days 05:25:25,260.12,82,3.17,47.96,633090,37373,100
3,Michou,bNaNLCUPH64,ON S'AFFRONTE SUR LES JEUX DE NOTRE ENFANCE AVEC AMARU ! (ça va être marrant mdrrrr),2022-02-08,0 days 03:13:41,364.83,96,3.8,113.02,875829,51993,371
4,Michou,Pei5CPhYzsU,JE VEUX DEVENIR JOUEUR PRO SUR CE JEU ! (Clash Royale),2022-02-08,0 days 02:43:41,234.75,63,3.73,86.05,482366,30929,87
5,Michou,pqGerv_SZi0,ÉNORME PACK OPENING NIVEAU 14 POUR DÉBLOQUER MON PREMIER CHAMPION SUR CLASH ROYALE ! (oh bordel),2022-02-04,0 days 02:03:20,217.51,55,3.95,105.82,446070,33795,138
6,Michou,9u1zTePZTbQ,JE FAIS LE TOURNOI ROYAL SUR CLASH ROYALE ! (je veux devenir joueur pro),2022-02-01,0 days 01:47:20,192.62,35,5.5,107.68,377489,26202,176
7,Michou,8WGgcmFrAh4,JE DÉCOUVRE LE NOUVEAU POKÉMON LÉGENDES ARCEUS ! (il a l'air incroyable),2022-01-28,0 days 02:28:47,229.82,44,5.22,92.68,307273,18021,110
8,Michou,hqvf_Pvyjwo,JE DÉCOUVRE LA PREMIERE BOÎTE RÉGALOUZZ ! (et après on se fait un pack opening clash royale),2022-01-26,0 days 01:23:55,51.53,20,2.58,36.84,527255,38801,232
9,Michou,wZUKnm0zo-g,JE M'ENTRAÎNE POUR LE TOURNOIS D'INOXTAG SUR CLASH ROYALE ! (je veux rouler sur tout le monde),2022-01-25,0 days 03:01:58,325.51,59,5.52,107.33,588566,34830,74
10,Michou,kgt2XBsgbtI,LOUP GAROU sur MINECRAFT pour la SOIRÉE DU JEUDI DE SQUEEZIE ! (oh bordel je suis nul moi),2022-01-18,0 days 03:49:46,273.3,48,5.69,71.37,608023,35467,118
11,Michou,jcshh0ICCzI,TILTED TOWERS EST DE RETOUR SUR FORTNITE ! (on découvre ça),2022-01-15,0 days 00:54:55,224.47,50,4.49,245.25,516776,36915,570
12,Inoxtag,GFK-iC_uuHs,"Je suis de retours en live ou pas (Derniere live avant 1 semaine mdrr y'a PARIS ROUBAIX, je repars)",2022-02-28,0 days 03:01:12,522.2,131,3.99,172.91,595338,34844,238
13,Inoxtag,8lhs9IY8044,Clash Royale ! Tournois avec les abo pour gagner une place dans les BACK STAGE du prochain tournois!,2022-02-18,0 days 02:07:42,172.41,43,4.01,81.01,379843,25449,200
14,Inoxtag,ZH1LyZtnRDQ,Objectif TOP 1 TILTED et Clash Royale 22H30 !,2022-02-17,0 days 04:48:31,718.73,179,4.02,149.47,687237,43305,382
15,Inoxtag,Xw4XIGSvuWU,Radio Libre ! Vous racontez des Histoires effrayante ! (invité suprise 21h30),2022-02-13,0 days 04:10:20,607.32,174,3.49,145.56,896397,61467,593
16,Inoxtag,YkoqTG08hzk,Soirée Fortnite avec Gota ! (Combat Clash Royale 22h),2022-01-31,0 days 03:24:14,917.63,208,4.41,269.58,680352,40976,151
17,Inoxtag,tRBOGTdW-FE,Go faire du sale à Tilted ! (21h30 entrainement pour le tournois Clash Royale de demain),2022-01-25,0 days 03:17:46,803.23,191,4.21,243.69,631298,39326,209
18,Inoxtag,qtpoK_uKe5g,On détruit tilted avec Gota (22h30 ClahsRoyale),2022-01-21,0 days 03:03:25,392.14,133,2.95,128.28,685093,39732,300
19,Inoxtag,HBZslQ7TVH8,"Loup Garou Minecraft (Ft. Mich, Squeezie, Kameto, Gota, Lock, Little BigWhale)",2022-01-20,0 days 03:48:00,336.2,104,3.23,88.47,627024,37447,115
20,Inoxtag,FyD3SAIUKns,Le retour de Tilted Tower ! On va laver ça avec GOTA ! (22h ClashRoyale),2022-01-19,0 days 05:35:33,715.81,189,3.79,127.99,1013241,55173,193
21,Inoxtag,cn2-pOxZ--o,Libre Antenne: On parle de L'amour ! (Vos anecdotes),2022-01-12,0 days 02:55:23,1041.86,258,4.04,356.43,855656,65271,518
